Class ID,Name,Mean CC,Mean Significant CC,Mean Main Ratio,Max CC,Samples
1,Myocardium,1.001002004008016,1.0,0.9999952833607175,2,998
2,LA,1.0,1.0,1.0,1,998
3,LV,1.0,1.0,1.0,1,998
4,RA,1.0,1.0,1.0,1,998
5,RV,1.001002004008016,1.0,0.9999986714249499,2,998
6,Aorta,1.9839679358717435,1.9839679358717435,0.5629408822208752,2,998
7,PA,1.465931863727455,1.3266533066132264,0.9417477912857324,2,998
8,LAA,1.0,1.0,1.0,1,998
9,Coronary,2.1222444889779557,2.031062124248497,0.6185881579938782,4,998
10,PV,2.278557114228457,2.278557114228457,0.54100002154632,4,998
