sample_id,dice,surface_dice_1mm,num_cc_orig,num_cc_refined,cc_reduction,volume_orig,volume_refined,volume_change_pct
3,0.0629913801254383,0.07329914395077702,3,11,-8,28084,14144,6.568417630342078e+16
26,0.06054715972446311,0.06642982134503732,2,15,-13,25973,15185,7.102277008046554e+16
31,0.07097725088021818,0.08880685312574468,2,21,-19,28509,49516,73.68550282108508
45,0.07332735256449012,0.09510045672127171,3,15,-12,24219,18139,7.61664150994999e+16
96,0.05352463904202236,0.07867996682278303,3,17,-14,31600,23739,5.837577238330945e+16
130,0.04087645000813119,0.04897144463264575,2,18,-16,27725,10292,6.6534694582666136e+16
281,0.07654604233885101,0.0942790093556764,2,12,-10,38849,18685,4.7483188944978504e+16
321,0.06837466828181413,0.05707765234335437,4,12,-8,33851,27195,5.4493941310935e+16
462,0.0031625773266983634,0.02516024681601847,3,14,-11,37800,19748,4.8800910246617784e+16
552,0.00040155267031629965,0.004610171280976409,3,12,-9,25617,19209,7.200977504387495e+16
555,0.11127013611694526,0.07772424387980097,3,22,-19,41381,24297,4.4577811249761384e+16
602,0.07713424238159547,0.10314451929779903,3,12,-9,31577,12865,5.841829202623856e+16
610,0.05173580202863209,0.06635303974917227,3,15,-12,35487,20683,5.198169491134703e+16
639,0.037496661255804316,0.07087701126119172,2,21,-19,55310,42032,3.3351553197208508e+16
706,0.08850743502247606,0.10071526546979961,2,17,-15,36244,33897,5.089599402163279e+16
758,0.024016547285708498,0.03022588289941353,2,17,-15,32477,19737,5.67994090376006e+16
808,0.043218569415742765,0.06849865170415571,3,13,-10,23090,18096,7.989061963148826e+16
816,0.025926196565203858,0.04601411247925464,2,12,-10,35690,32735,5.168602990527512e+16
910,0.11223722868535228,0.12173388808685646,2,24,-22,23292,20615,7.919776778686918e+16
972,0.10049271467076402,0.12206404409448332,3,11,-8,24342,13611,7.578154659827346e+16
