sample_id,dice,surface_dice_1mm,num_cc_orig,num_cc_refined,cc_reduction,volume_orig,volume_refined,volume_change_pct
3,0.10400233712863954,0.10764205051139951,3,3,0,28084,12992,6.568417630342078e+16
26,0.052685070730595106,0.09427039688332545,2,9,-7,25973,10432,7.102277008046551e+16
31,0.20371993839109773,0.2195708287655278,2,8,-6,28509,13696,6.4704984647172776e+16
45,0.015780702648852812,0.028054218717797296,3,16,-13,24219,5184,7.616641509949986e+16
96,0.21356783919082026,0.22694328145089204,3,7,-4,31600,9792,5.83757723833094e+16
130,0.02480042911605716,0.062463461632922684,2,11,-9,27725,3968,6.653469458266611e+16
281,0.08390891171481372,0.13372613669867553,2,3,-1,38849,23552,4.748318894497852e+16
321,0.33916941866060607,0.268554987263063,4,1,3,33851,20352,5.449394131093498e+16
462,0.262417552829075,0.20982663914551775,3,3,0,37800,21632,4.880091024661779e+16
552,0.11920740434085406,0.1666665624229204,3,9,-6,25617,5824,7.20097750438749e+16
555,0.29353049907061823,0.22150877804900398,3,10,-7,41381,15424,4.457781124976136e+16
602,0.13538096832859953,0.17512956403583205,3,16,-13,31577,7232,5.8418292026238536e+16
610,0.15623065458772828,0.163832628875837,3,5,-2,35487,8128,5.198169491134699e+16
639,0.3114047916569867,0.2617616574713646,2,3,-1,55310,19904,3.3351553197208464e+16
706,0.16783765133668155,0.12765833619181063,2,6,-4,36244,27520,5.0895994021632776e+16
758,0.13888815875571328,0.15929047536928526,2,4,-2,32477,5568,5.679940903760055e+16
808,0.001248499399729928,0.017751266533001943,3,15,-12,23090,18560,7.989061963148826e+16
816,0.21207658320614187,0.21062677938753924,2,7,-5,35690,11840,5.168602990527506e+16
910,0.11875213480249482,0.1831795233000484,2,12,-10,23292,11840,7.919776778686915e+16
972,0.10276571176931969,0.15555177839960355,3,11,-8,24342,12032,7.578154659827346e+16
