filename,original_cc,final_cc
552_refined.npy,2,2
602_refined.npy,2,2
31_refined.npy,2,2
462_refined.npy,3,2
321_refined.npy,2,1
816_refined.npy,2,2
26_refined.npy,2,2
130_refined.npy,1,1
555_refined.npy,3,2
808_refined.npy,2,1
96_refined.npy,2,2
281_refined.npy,3,2
706_refined.npy,2,2
758_refined.npy,3,2
45_refined.npy,2,2
639_refined.npy,3,2
972_refined.npy,1,1
910_refined.npy,1,1
610_refined.npy,2,2
3_refined.npy,1,1
208_refined.npy,1,1
605_refined.npy,1,1
481_refined.npy,2,2
17_refined.npy,1,1
594_refined.npy,1,1
637_refined.npy,1,1
482_refined.npy,2,2
128_refined.npy,2,2
456_refined.npy,2,2
59_refined.npy,1,1
811_refined.npy,1,1
299_refined.npy,3,2
982_refined.npy,4,1
334_refined.npy,2,2
322_refined.npy,3,2
10_refined.npy,1,1
819_refined.npy,3,1
476_refined.npy,1,1
266_refined.npy,2,1
669_refined.npy,1,1
419_refined.npy,2,2
822_refined.npy,1,1
489_refined.npy,2,2
267_refined.npy,1,1
617_refined.npy,1,1
868_refined.npy,1,1
393_refined.npy,2,2
662_refined.npy,1,1
125_refined.npy,1,1
437_refined.npy,2,2
922_refined.npy,1,1
404_refined.npy,1,1
319_refined.npy,2,2
735_refined.npy,3,2
596_refined.npy,2,2
678_refined.npy,2,2
249_refined.npy,2,2
244_refined.npy,1,1
123_refined.npy,1,1
44_refined.npy,2,2
407_refined.npy,4,1
930_refined.npy,2,2
844_refined.npy,1,1
689_refined.npy,2,2
657_refined.npy,3,2
415_refined.npy,6,2
694_refined.npy,2,1
99_refined.npy,1,1
525_refined.npy,3,1
135_refined.npy,1,1
530_refined.npy,3,2
985_refined.npy,1,1
339_refined.npy,3,2
667_refined.npy,2,1
148_refined.npy,2,2
584_refined.npy,2,2
212_refined.npy,2,2
38_refined.npy,2,1
515_refined.npy,1,1
335_refined.npy,2,2
262_refined.npy,1,1
682_refined.npy,6,2
633_refined.npy,3,1
688_refined.npy,2,2
862_refined.npy,2,1
189_refined.npy,2,2
889_refined.npy,2,2
37_refined.npy,3,1
887_refined.npy,2,2
841_refined.npy,2,2
623_refined.npy,3,2
431_refined.npy,2,2
917_refined.npy,1,1
545_refined.npy,2,2
716_refined.npy,1,1
122_refined.npy,2,2
627_refined.npy,1,1
265_refined.npy,3,2
484_refined.npy,1,1
824_refined.npy,1,1
350_refined.npy,1,1
598_refined.npy,1,1
581_refined.npy,2,1
652_refined.npy,1,1
72_refined.npy,2,2
132_refined.npy,2,1
789_refined.npy,1,1
835_refined.npy,1,1
14_refined.npy,4,2
129_refined.npy,2,2
976_refined.npy,3,2
279_refined.npy,3,1
64_refined.npy,1,1
674_refined.npy,1,1
364_refined.npy,1,1
