Class ID,Name,Mean CC,Mean Significant CC,Mean Main Ratio,Max CC,Samples
1,Myocardium,1.0,1.0,1.0,1,998
2,LA,1.001002004008016,1.0,0.9999871678365645,2,998
3,LV,1.0,1.0,1.0,1,998
4,RA,1.0,1.0,1.0,1,998
5,RV,1.0,1.0,1.0,1,998
6,Aorta,1.9889779559118237,1.9889779559118237,0.561804363152689,2,998
7,PA,1.4859719438877756,1.2715430861723447,0.9430870646780862,2,998
8,LAA,1.0,1.0,1.0,1,998
9,Coronary,1.8216432865731462,1.534068136272545,0.8843026483120479,2,998
10,PV,2.5751503006012024,2.512024048096192,0.5258432906473316,4,998
