filename,class_id,class_name,cc_count,significant_cc,main_ratio,voxel_count
132_stage3.nii.gz,1,Myocardium,1,1,1.0,580639
132_stage3.nii.gz,2,LA,1,1,1.0,573347
132_stage3.nii.gz,3,LV,1,1,1.0,695700
132_stage3.nii.gz,4,RA,1,1,1.0,519395
132_stage3.nii.gz,5,RV,1,1,1.0,793768
132_stage3.nii.gz,6,Aorta,2,2,0.5797614194848445,520076
132_stage3.nii.gz,7,PA,1,1,1.0,301811
132_stage3.nii.gz,8,LAA,1,1,1.0,52561
132_stage3.nii.gz,9,Coronary,1,1,1.0,14333
132_stage3.nii.gz,10,PV,2,2,0.5668477570449637,133819
139_stage3.nii.gz,1,Myocardium,1,1,1.0,633990
139_stage3.nii.gz,2,LA,1,1,1.0,390042
139_stage3.nii.gz,3,LV,1,1,1.0,661582
139_stage3.nii.gz,4,RA,1,1,1.0,506890
139_stage3.nii.gz,5,RV,1,1,1.0,713761
139_stage3.nii.gz,6,Aorta,2,2,0.5136689881087128,525679
139_stage3.nii.gz,7,PA,1,1,1.0,215358
139_stage3.nii.gz,8,LAA,1,1,1.0,54692
139_stage3.nii.gz,9,Coronary,1,1,1.0,12421
139_stage3.nii.gz,10,PV,2,2,0.632562210829061,119955
142_stage3.nii.gz,1,Myocardium,1,1,1.0,573386
142_stage3.nii.gz,2,LA,1,1,1.0,313379
142_stage3.nii.gz,3,LV,1,1,1.0,612688
142_stage3.nii.gz,4,RA,1,1,1.0,383252
142_stage3.nii.gz,5,RV,1,1,1.0,802187
142_stage3.nii.gz,6,Aorta,2,2,0.5186722784871718,575452
142_stage3.nii.gz,7,PA,1,1,1.0,331182
142_stage3.nii.gz,8,LAA,1,1,1.0,17518
142_stage3.nii.gz,9,Coronary,1,1,1.0,13803
142_stage3.nii.gz,10,PV,3,3,0.46614813792431536,123169
128_stage3.nii.gz,1,Myocardium,1,1,1.0,629973
128_stage3.nii.gz,2,LA,1,1,1.0,352740
128_stage3.nii.gz,3,LV,1,1,1.0,677673
128_stage3.nii.gz,4,RA,1,1,1.0,471315
128_stage3.nii.gz,5,RV,1,1,1.0,715539
128_stage3.nii.gz,6,Aorta,2,2,0.6320485951561747,446135
128_stage3.nii.gz,7,PA,2,1,0.9819405750166169,141422
128_stage3.nii.gz,8,LAA,1,1,1.0,45779
128_stage3.nii.gz,9,Coronary,2,2,0.6129619101762365,17590
128_stage3.nii.gz,10,PV,3,3,0.5052947039118518,144484
126_stage3.nii.gz,1,Myocardium,1,1,1.0,653881
126_stage3.nii.gz,2,LA,1,1,1.0,474519
126_stage3.nii.gz,3,LV,1,1,1.0,647299
126_stage3.nii.gz,4,RA,1,1,1.0,578718
126_stage3.nii.gz,5,RV,1,1,1.0,889007
126_stage3.nii.gz,6,Aorta,2,2,0.5667313017045021,590495
126_stage3.nii.gz,7,PA,2,2,0.919261298488365,180533
126_stage3.nii.gz,8,LAA,1,1,1.0,43802
126_stage3.nii.gz,9,Coronary,2,2,0.510215221459763,38472
126_stage3.nii.gz,10,PV,2,2,0.5293397926621584,120962
119_stage3.nii.gz,1,Myocardium,1,1,1.0,523220
119_stage3.nii.gz,2,LA,1,1,1.0,367384
119_stage3.nii.gz,3,LV,1,1,1.0,462996
119_stage3.nii.gz,4,RA,1,1,1.0,394873
119_stage3.nii.gz,5,RV,1,1,1.0,615114
119_stage3.nii.gz,6,Aorta,2,2,0.5091573926868045,691900
119_stage3.nii.gz,7,PA,1,1,1.0,289527
119_stage3.nii.gz,8,LAA,1,1,1.0,54641
119_stage3.nii.gz,9,Coronary,1,1,1.0,13875
119_stage3.nii.gz,10,PV,3,3,0.48760738619531946,81016
148_stage3.nii.gz,1,Myocardium,1,1,1.0,812708
148_stage3.nii.gz,2,LA,1,1,1.0,400944
148_stage3.nii.gz,3,LV,1,1,1.0,756263
148_stage3.nii.gz,4,RA,1,1,1.0,544600
148_stage3.nii.gz,5,RV,1,1,1.0,1135269
148_stage3.nii.gz,6,Aorta,2,2,0.5325102703632805,418437
148_stage3.nii.gz,7,PA,2,2,0.9034235648303013,155452
148_stage3.nii.gz,8,LAA,1,1,1.0,71121
148_stage3.nii.gz,9,Coronary,1,1,1.0,12813
148_stage3.nii.gz,10,PV,3,3,0.5154720576335778,153244
1000_stage3.nii.gz,1,Myocardium,1,1,1.0,738402
1000_stage3.nii.gz,2,LA,1,1,1.0,479415
1000_stage3.nii.gz,3,LV,1,1,1.0,820331
1000_stage3.nii.gz,4,RA,1,1,1.0,528940
1000_stage3.nii.gz,5,RV,1,1,1.0,1121203
1000_stage3.nii.gz,6,Aorta,2,2,0.5397844402414415,552515
1000_stage3.nii.gz,7,PA,2,2,0.8930902346415636,171453
1000_stage3.nii.gz,8,LAA,1,1,1.0,74470
1000_stage3.nii.gz,9,Coronary,2,2,0.869867693645568,16099
1000_stage3.nii.gz,10,PV,3,3,0.5009911466967656,141755
146_stage3.nii.gz,1,Myocardium,1,1,1.0,559203
146_stage3.nii.gz,2,LA,1,1,1.0,707282
146_stage3.nii.gz,3,LV,1,1,1.0,296173
146_stage3.nii.gz,4,RA,1,1,1.0,569395
146_stage3.nii.gz,5,RV,1,1,1.0,470409
146_stage3.nii.gz,6,Aorta,2,2,0.5521268383124832,619182
146_stage3.nii.gz,7,PA,1,1,1.0,332966
146_stage3.nii.gz,8,LAA,1,1,1.0,62522
146_stage3.nii.gz,9,Coronary,1,1,1.0,10587
146_stage3.nii.gz,10,PV,3,3,0.5260713890849712,117581
134_stage3.nii.gz,1,Myocardium,2,1,0.9999985094404589,670889
134_stage3.nii.gz,2,LA,1,1,1.0,460798
134_stage3.nii.gz,3,LV,1,1,1.0,612537
134_stage3.nii.gz,4,RA,1,1,1.0,330921
134_stage3.nii.gz,5,RV,1,1,1.0,725163
134_stage3.nii.gz,6,Aorta,2,2,0.5729042481229702,535154
134_stage3.nii.gz,7,PA,2,1,0.9795303023573709,202641
134_stage3.nii.gz,8,LAA,1,1,1.0,90115
134_stage3.nii.gz,9,Coronary,2,1,0.9870116894794685,20018
134_stage3.nii.gz,10,PV,3,3,0.5448355887528721,130131
131_stage3.nii.gz,1,Myocardium,1,1,1.0,630206
131_stage3.nii.gz,2,LA,1,1,1.0,450599
131_stage3.nii.gz,3,LV,1,1,1.0,746907
131_stage3.nii.gz,4,RA,1,1,1.0,483976
131_stage3.nii.gz,5,RV,1,1,1.0,787989
131_stage3.nii.gz,6,Aorta,2,2,0.5921931963170359,659143
131_stage3.nii.gz,7,PA,2,2,0.9278784831564741,188945
131_stage3.nii.gz,8,LAA,1,1,1.0,50231
131_stage3.nii.gz,9,Coronary,2,2,0.6541734197730956,14808
131_stage3.nii.gz,10,PV,2,2,0.5487264395497801,119586
168_stage3.nii.gz,1,Myocardium,1,1,1.0,609472
168_stage3.nii.gz,2,LA,1,1,1.0,425687
168_stage3.nii.gz,3,LV,1,1,1.0,719864
168_stage3.nii.gz,4,RA,1,1,1.0,483031
168_stage3.nii.gz,5,RV,1,1,1.0,781824
168_stage3.nii.gz,6,Aorta,2,2,0.5369672471161399,679818
168_stage3.nii.gz,7,PA,1,1,1.0,275855
168_stage3.nii.gz,8,LAA,1,1,1.0,64456
168_stage3.nii.gz,9,Coronary,2,2,0.9367180563403019,12389
168_stage3.nii.gz,10,PV,2,2,0.5364756649101697,120505
187_stage3.nii.gz,1,Myocardium,1,1,1.0,519535
187_stage3.nii.gz,2,LA,1,1,1.0,397055
187_stage3.nii.gz,3,LV,1,1,1.0,531384
187_stage3.nii.gz,4,RA,1,1,1.0,335273
187_stage3.nii.gz,5,RV,1,1,1.0,655766
187_stage3.nii.gz,6,Aorta,2,2,0.5498704826261221,754725
187_stage3.nii.gz,7,PA,1,1,1.0,393974
187_stage3.nii.gz,8,LAA,1,1,1.0,67029
187_stage3.nii.gz,9,Coronary,2,1,0.96405029296875,16384
187_stage3.nii.gz,10,PV,3,3,0.4352837492223681,115736
104_stage3.nii.gz,1,Myocardium,1,1,1.0,625528
104_stage3.nii.gz,2,LA,1,1,1.0,406818
104_stage3.nii.gz,3,LV,1,1,1.0,530373
104_stage3.nii.gz,4,RA,1,1,1.0,460016
104_stage3.nii.gz,5,RV,1,1,1.0,684425
104_stage3.nii.gz,6,Aorta,2,2,0.5108554674587964,674637
104_stage3.nii.gz,7,PA,2,1,0.9720599957703633,245884
104_stage3.nii.gz,8,LAA,1,1,1.0,41250
104_stage3.nii.gz,9,Coronary,1,1,1.0,12115
104_stage3.nii.gz,10,PV,3,3,0.4516250152809067,114522
123_stage3.nii.gz,1,Myocardium,1,1,1.0,563244
123_stage3.nii.gz,2,LA,1,1,1.0,327672
123_stage3.nii.gz,3,LV,1,1,1.0,585479
123_stage3.nii.gz,4,RA,1,1,1.0,406872
123_stage3.nii.gz,5,RV,1,1,1.0,753768
123_stage3.nii.gz,6,Aorta,2,2,0.5568085094336418,529859
123_stage3.nii.gz,7,PA,1,1,1.0,210595
123_stage3.nii.gz,8,LAA,1,1,1.0,83009
123_stage3.nii.gz,9,Coronary,1,1,1.0,13300
123_stage3.nii.gz,10,PV,3,3,0.5333178972147453,103653
155_stage3.nii.gz,1,Myocardium,1,1,1.0,694327
155_stage3.nii.gz,2,LA,1,1,1.0,477478
155_stage3.nii.gz,3,LV,1,1,1.0,673047
155_stage3.nii.gz,4,RA,1,1,1.0,568897
155_stage3.nii.gz,5,RV,1,1,1.0,762274
155_stage3.nii.gz,6,Aorta,2,2,0.5791583402696573,593494
155_stage3.nii.gz,7,PA,2,2,0.8864046308499367,193485
155_stage3.nii.gz,8,LAA,1,1,1.0,50889
155_stage3.nii.gz,9,Coronary,1,1,1.0,13790
155_stage3.nii.gz,10,PV,3,3,0.48618886496462627,113785
138_stage3.nii.gz,1,Myocardium,1,1,1.0,635228
138_stage3.nii.gz,2,LA,1,1,1.0,373663
138_stage3.nii.gz,3,LV,1,1,1.0,677960
138_stage3.nii.gz,4,RA,1,1,1.0,521331
138_stage3.nii.gz,5,RV,1,1,1.0,768081
138_stage3.nii.gz,6,Aorta,2,2,0.5081851077202788,563218
138_stage3.nii.gz,7,PA,2,2,0.9468972339377584,241607
138_stage3.nii.gz,8,LAA,1,1,1.0,62244
138_stage3.nii.gz,9,Coronary,1,1,1.0,12891
138_stage3.nii.gz,10,PV,2,2,0.506269106031687,128886
151_stage3.nii.gz,1,Myocardium,1,1,1.0,769196
151_stage3.nii.gz,2,LA,1,1,1.0,540578
151_stage3.nii.gz,3,LV,1,1,1.0,686465
151_stage3.nii.gz,4,RA,1,1,1.0,600388
151_stage3.nii.gz,5,RV,1,1,1.0,974885
151_stage3.nii.gz,6,Aorta,2,2,0.5595684491528801,677649
151_stage3.nii.gz,7,PA,2,2,0.9405588128177113,194949
151_stage3.nii.gz,8,LAA,1,1,1.0,59295
151_stage3.nii.gz,9,Coronary,1,1,1.0,24061
151_stage3.nii.gz,10,PV,3,3,0.5520002696235381,148355
12_stage3.nii.gz,1,Myocardium,1,1,1.0,489523
12_stage3.nii.gz,2,LA,1,1,1.0,423186
12_stage3.nii.gz,3,LV,1,1,1.0,534431
12_stage3.nii.gz,4,RA,1,1,1.0,538570
12_stage3.nii.gz,5,RV,1,1,1.0,682002
12_stage3.nii.gz,6,Aorta,2,2,0.5077598644801422,621016
12_stage3.nii.gz,7,PA,1,1,1.0,290615
12_stage3.nii.gz,8,LAA,1,1,1.0,62820
12_stage3.nii.gz,9,Coronary,2,2,0.9269000703729767,11368
12_stage3.nii.gz,10,PV,3,3,0.44112268273432537,103894
116_stage3.nii.gz,1,Myocardium,1,1,1.0,676186
116_stage3.nii.gz,2,LA,1,1,1.0,578658
116_stage3.nii.gz,3,LV,1,1,1.0,721807
116_stage3.nii.gz,4,RA,1,1,1.0,724255
