filename,original_cc,final_cc
552_refined.npy,3,3
602_refined.npy,5,3
31_refined.npy,7,3
462_refined.npy,5,3
321_refined.npy,3,2
816_refined.npy,3,3
26_refined.npy,3,3
130_refined.npy,2,2
555_refined.npy,5,4
808_refined.npy,2,2
96_refined.npy,4,2
281_refined.npy,3,3
706_refined.npy,6,3
758_refined.npy,3,3
45_refined.npy,3,3
639_refined.npy,3,3
972_refined.npy,2,2
910_refined.npy,3,3
610_refined.npy,5,3
3_refined.npy,3,3
208_refined.npy,2,2
605_refined.npy,3,3
481_refined.npy,2,2
17_refined.npy,4,3
594_refined.npy,1,1
637_refined.npy,2,2
482_refined.npy,2,2
128_refined.npy,5,3
456_refined.npy,3,2
59_refined.npy,3,2
811_refined.npy,3,3
299_refined.npy,2,2
982_refined.npy,3,2
334_refined.npy,2,2
322_refined.npy,3,2
10_refined.npy,2,2
819_refined.npy,2,2
476_refined.npy,3,3
266_refined.npy,3,3
669_refined.npy,2,2
419_refined.npy,3,3
822_refined.npy,3,3
489_refined.npy,2,2
267_refined.npy,3,2
617_refined.npy,3,3
868_refined.npy,2,2
393_refined.npy,3,3
662_refined.npy,3,3
125_refined.npy,2,2
437_refined.npy,4,2
922_refined.npy,5,3
404_refined.npy,2,2
319_refined.npy,2,2
735_refined.npy,2,2
596_refined.npy,4,3
678_refined.npy,3,3
249_refined.npy,5,2
244_refined.npy,2,2
123_refined.npy,4,3
44_refined.npy,3,3
407_refined.npy,4,3
930_refined.npy,2,2
844_refined.npy,3,3
689_refined.npy,3,2
657_refined.npy,3,3
415_refined.npy,3,3
694_refined.npy,2,2
99_refined.npy,3,3
525_refined.npy,4,4
135_refined.npy,4,3
530_refined.npy,2,2
985_refined.npy,2,2
339_refined.npy,2,2
667_refined.npy,3,3
148_refined.npy,3,3
584_refined.npy,2,2
212_refined.npy,6,3
38_refined.npy,4,3
515_refined.npy,4,3
335_refined.npy,3,2
262_refined.npy,5,2
682_refined.npy,3,3
633_refined.npy,3,3
688_refined.npy,2,2
862_refined.npy,3,3
189_refined.npy,5,4
889_refined.npy,3,3
37_refined.npy,3,2
887_refined.npy,2,2
841_refined.npy,4,3
623_refined.npy,4,2
431_refined.npy,3,2
917_refined.npy,3,3
545_refined.npy,2,2
716_refined.npy,3,3
122_refined.npy,5,3
627_refined.npy,4,2
265_refined.npy,3,3
484_refined.npy,2,2
824_refined.npy,2,2
350_refined.npy,3,3
598_refined.npy,3,3
581_refined.npy,2,2
652_refined.npy,3,3
72_refined.npy,2,2
132_refined.npy,2,2
789_refined.npy,2,2
835_refined.npy,3,3
14_refined.npy,3,3
129_refined.npy,4,3
976_refined.npy,3,2
279_refined.npy,2,2
64_refined.npy,2,2
674_refined.npy,2,2
364_refined.npy,3,2
524_refined.npy,3,2
40_refined.npy,3,3
732_refined.npy,2,2
547_refined.npy,3,3
903_refined.npy,3,3
567_refined.npy,3,3
219_refined.npy,5,4
845_refined.npy,5,3
200_refined.npy,2,2
104_refined.npy,3,3
765_refined.npy,3,3
333_refined.npy,4,4
898_refined.npy,4,4
287_refined.npy,2,2
234_refined.npy,2,2
168_refined.npy,2,2
533_refined.npy,2,2
784_refined.npy,3,3
954_refined.npy,2,2
291_refined.npy,3,3
823_refined.npy,2,2
673_refined.npy,4,3
863_refined.npy,3,2
155_refined.npy,3,3
399_refined.npy,3,3
731_refined.npy,3,3
246_refined.npy,2,2
775_refined.npy,3,3
979_refined.npy,3,3
368_refined.npy,2,2
592_refined.npy,2,2
583_refined.npy,3,3
458_refined.npy,3,2
210_refined.npy,4,3
783_refined.npy,2,2
580_refined.npy,4,2
920_refined.npy,2,2
410_refined.npy,3,3
722_refined.npy,3,3
534_refined.npy,6,3
357_refined.npy,2,2
935_refined.npy,2,2
153_refined.npy,3,3
231_refined.npy,2,2
98_refined.npy,2,2
107_refined.npy,4,3
228_refined.npy,4,4
589_refined.npy,2,2
205_refined.npy,4,2
175_refined.npy,5,4
542_refined.npy,3,2
343_refined.npy,3,3
217_refined.npy,4,4
284_refined.npy,3,2
224_refined.npy,6,4
832_refined.npy,2,2
398_refined.npy,3,2
245_refined.npy,3,3
687_refined.npy,3,2
386_refined.npy,3,3
241_refined.npy,2,2
763_refined.npy,4,2
912_refined.npy,3,3
891_refined.npy,3,3
618_refined.npy,4,2
535_refined.npy,3,3
263_refined.npy,2,2
446_refined.npy,4,3
869_refined.npy,5,3
550_refined.npy,2,2
54_refined.npy,3,3
544_refined.npy,3,3
659_refined.npy,2,2
365_refined.npy,4,2
591_refined.npy,6,3
252_refined.npy,2,2
804_refined.npy,2,2
297_refined.npy,3,3
812_refined.npy,5,2
16_refined.npy,3,3
941_refined.npy,6,3
994_refined.npy,2,2
850_refined.npy,3,3
463_refined.npy,4,2
422_refined.npy,5,4
670_refined.npy,5,4
136_refined.npy,3,2
292_refined.npy,2,2
43_refined.npy,2,2
886_refined.npy,3,3
172_refined.npy,3,3
256_refined.npy,3,3
973_refined.npy,4,3
290_refined.npy,2,2
425_refined.npy,2,2
513_refined.npy,2,2
47_refined.npy,2,2
858_refined.npy,4,3
442_refined.npy,3,3
562_refined.npy,3,3
